id,category,vulnerability_family,error_name,priority,severity,target_action,oracle_required,evidence_required,reward_trigger,reward_evidence,reward_control,reward_reproduce,reward_confirm,penalty_fp,penalty_duplicate,penalty_unsafe,safe_fixture,source_reference
SEC-001,access-control,IDOR,수평적 권한 상승 (orders),상,1.0,사용자 A로 사용자 B의 orders ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-001,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-002,access-control,IDOR,수평적 권한 상승 (profile),상,1.0,사용자 A로 사용자 B의 profile ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-002,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-003,access-control,IDOR,수평적 권한 상승 (reports),상,1.0,사용자 A로 사용자 B의 reports ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-003,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-004,access-control,IDOR,수평적 권한 상승 (invoices),상,1.0,사용자 A로 사용자 B의 invoices ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-004,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-005,access-control,IDOR,수평적 권한 상승 (files),상,1.0,사용자 A로 사용자 B의 files ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-005,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-006,access-control,IDOR,수평적 권한 상승 (messages),상,1.0,사용자 A로 사용자 B의 messages ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-006,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-007,access-control,IDOR,수평적 권한 상승 (appointments),상,1.0,사용자 A로 사용자 B의 appointments ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-007,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-008,access-control,IDOR,수평적 권한 상승 (cart),상,1.0,사용자 A로 사용자 B의 cart ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-008,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-009,access-control,IDOR,수평적 권한 상승 (checkout),상,1.0,사용자 A로 사용자 B의 checkout ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-009,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-010,access-control,IDOR,수평적 권한 상승 (search),상,1.0,사용자 A로 사용자 B의 search ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-010,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-011,access-control,IDOR,수평적 권한 상승 (notifications),상,1.0,사용자 A로 사용자 B의 notifications ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-011,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-012,access-control,IDOR,수평적 권한 상승 (payments),상,1.0,사용자 A로 사용자 B의 payments ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-012,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-013,access-control,IDOR,수평적 권한 상승 (shipping),상,1.0,사용자 A로 사용자 B의 shipping ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-013,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-014,access-control,IDOR,수평적 권한 상승 (returns),상,1.0,사용자 A로 사용자 B의 returns ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-014,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-015,access-control,IDOR,수평적 권한 상승 (reviews),상,1.0,사용자 A로 사용자 B의 reviews ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-015,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-016,access-control,IDOR,수평적 권한 상승 (coupons),상,1.0,사용자 A로 사용자 B의 coupons ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-016,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-017,access-control,IDOR,수평적 권한 상승 (wishlist),상,1.0,사용자 A로 사용자 B의 wishlist ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-017,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-018,access-control,IDOR,수평적 권한 상승 (support),상,1.0,사용자 A로 사용자 B의 support ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-018,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-019,access-control,IDOR,수평적 권한 상승 (analytics),상,1.0,사용자 A로 사용자 B의 analytics ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-019,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-020,access-control,IDOR,수평적 권한 상승 (exports),상,1.0,사용자 A로 사용자 B의 exports ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-020,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-021,access-control,IDOR,수평적 권한 상승 (imports),상,1.0,사용자 A로 사용자 B의 imports ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-021,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-022,access-control,IDOR,수평적 권한 상승 (documents),상,1.0,사용자 A로 사용자 B의 documents ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-022,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-023,access-control,IDOR,수평적 권한 상승 (teams),상,1.0,사용자 A로 사용자 B의 teams ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-023,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-024,access-control,IDOR,수평적 권한 상승 (roles),상,1.0,사용자 A로 사용자 B의 roles ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-024,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-025,access-control,IDOR,수평적 권한 상승 (audit-logs),상,1.0,사용자 A로 사용자 B의 audit-logs ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-025,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-026,access-control,IDOR,수평적 권한 상승 (subscriptions),상,1.0,사용자 A로 사용자 B의 subscriptions ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-026,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-027,access-control,IDOR,수평적 권한 상승 (devices),상,1.0,사용자 A로 사용자 B의 devices ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-027,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-028,access-control,IDOR,수평적 권한 상승 (api-keys),상,1.0,사용자 A로 사용자 B의 api-keys ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-028,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-029,access-control,IDOR,수평적 권한 상승 (webhooks),상,1.0,사용자 A로 사용자 B의 webhooks ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-029,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-030,access-control,IDOR,수평적 권한 상승 (jobs),상,1.0,사용자 A로 사용자 B의 jobs ID 조회,200 응답이며 owner가 B이면 취약,role;request;status;response_owner,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-030,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
SEC-031,access-control,vertical-privilege-escalation,관리자 API 권한 우회 (orders),상,1.0,일반 역할로 orders 관리자 API 요청,비관리자에게 200 및 보호 데이터가 반환되면 취약,role;endpoint;status;response_fields,0.10,0.20,0.30,0.40,1.0,-1.00,0.00,-1.50,jwas-safe-031,OWASP Top 10 2021 A01 Broken Access Control; OWASP API1/API5:2023
